"id","X2.hydroxy.2.methylbutyrate..2H2MB.","X2.hydroxyglutarate..2.HG.","X2.isopropylmalate..2.IPM.","X2.ketohexanoate..2.KH.","X2.methylacetoacetate..2.MAA.","X2.oxobutanoate..2.OB.","X3_methyl_2_oxobutyrate..3M2OB.","X2.oxodipate..2.OD.","X3.phosphoglycerate..3.PG.","X5.hydroxyindoleacetate..5.HIAA.","Acetylphosphate..ACP.","Adenosine.diphosphate","Allantoin","X2.aminoadipate..AAD.","Ascorbic.acid","Adenosine.triphosphate","CholSO4","Cyclic.adenosine.monophosphate..cAMP.","Cholic.acid","Citraconic.acid","Deoxycholate..DCA.","Fructose.6.phosphate","oxidized.glutathione..GSSG.","reduced.glutathione..GSH.","Glyceraldehyde","Guanidoacetate..GAA.","Homocysteate..HCA.","Homogentisate","Hydroxyisocaproate..HICA.","Isocitrate","Kynurenine","Malate","Fumarate","Malonyl.coA","N.Acetyl.L.Ala","Phosphoenolpyruvate..PEP.","Pyroglutamic.acid","Pyruvate","S.adenosyl.L.homocysteine","Taurine","Taurodeoxycholate..TDCA.","Thymidine","Uracil","Uridine","Xanthosine","Xanthurenate..XAN.","Adenosine.monophosphate..AMP.","Biotin","Erythrose.4.phosphate..E4P.","Glyceraldehyde.3.phosphate..G3P.","Inosine","Malonate","N.carbomyl.aspartate","Niacinamide","Oxaloacetate","Riboflavin.5..monophosphate..R5.MP.","Tropisetron","Ureidopropionic.acid","Uridine.5..diphosphate..U5.dP.","Glucose.6.phosphate","Succinate","Lactate","Glucose","Citrate","Lactulose","Rhamnose","Urate","X3.hydroxybutyrate..3.HB."
"HF58.2",17.1790335878666,18.8202919079201,16.8708873023708,14.407538252128,14.5781750690836,21.2809426967645,19.5855375801563,22.2582022612859,16.7743597017812,19.2204424121084,14.2327225540341,19.5534282192101,22.5703152845229,16.7903011669991,17.9387640430064,19.701246301046,25.2886062044391,15.211363470118,21.6723872730777,18.1896195527514,19.3794980795539,18.7164965511594,18.5388791824302,14.5695730860471,18.2291708146454,19.6925420753539,16.1648171338701,17.1536184285818,20.9461540570125,20.6018583054067,15.8606565127327,21.850591359099,17.9489233664796,16.3580868528124,18.0441295026009,16.8697186861551,13.7840277546578,19.0938309306632,15.3929565587809,23.6511119352905,19.6793726339031,21.5118118989934,20.6517186350369,19.3526799703984,13.4802008617191,18.8725483357442,19.5195502764562,19.1652376728269,16.4876456949916,16.7042927224607,14.1404077965246,24.0678450860348,18.6908010209051,13.3272942141359,19.7198971563696,14.8454130342552,16.1825413749302,16.5565194367282,12.9546305823355,19.4137890829482,19.6835589526413,25.9277520467972,15.4636175947255,26.219551715379,14.0874136835273,15.5371460194385,22.9965937590569,20.8335307170593
"HF58.3",17.0785764960065,18.6975513885499,17.0101502224178,14.3478707534159,14.8367984951327,20.653731489736,20.0272112667552,21.1039658289617,17.0190941880704,19.0856933149254,14.1485100187055,19.5779052738347,22.7733155437236,17.906990727777,17.9632532967254,19.8075498843539,25.0840527737488,15.3048429980257,20.2614711855749,18.3152472086983,17.6637826304177,19.6575947133018,20.2004191268205,16.1529882535457,18.8143912742044,18.3771576362382,15.9643980879816,16.3318645070037,21.7554870287725,20.3385826174592,15.7882460674781,22.3777144271244,18.5242300044113,16.1383124501807,18.1543207355898,17.092432923978,13.7310457802418,19.5996315018819,15.5872428020322,23.0631791169901,17.6800566779782,20.302662701443,19.11778298069,19.1717148662778,13.2348934995321,18.6581982562703,20.0616993553265,18.8877471032772,16.5886082742451,16.2347701381785,13.5938205869816,22.7502163088598,18.8605187388694,13.3916271228147,19.1918697940658,14.0835804559225,15.9627345457946,15.3864387199731,12.7141347416023,19.1924344222836,18.5082095664338,26.4032801187775,15.6407783890383,26.0399306122385,15.1589668833618,15.5937617365413,22.0902899885988,19.4366503500152
"HF65.1",17.2777016588254,19.296687880838,16.929230024424,14.6468483554718,14.9774946568135,19.780646120673,20.3080817483909,20.6935103008925,16.2957845046332,19.7732225447208,14.4582266144768,18.0663998439385,23.3081699987639,17.9967307845453,18.0698050297047,18.1333466656488,24.9772208159232,15.6578705330737,20.2227233714332,18.7913476015548,17.4639006862599,20.1238639603367,19.2161353463313,15.6502409337187,18.8033630899988,19.4275925157639,16.4556768001403,16.7614093351991,21.9848740260278,20.765493297388,16.1320221616575,22.7159172274847,19.1963014482872,16.1590440846212,18.9617924579717,15.877313210487,14.2311869121833,18.870323547102,14.6099965841522,23.5452654666137,16.4300436966163,20.174940157777,19.4502506571646,19.0443195524794,14.1839176022788,18.6617454456162,20.0540263707592,18.8816438741777,16.5102749699847,17.2647528941773,13.6175927091271,23.1026613006809,19.1721837632402,13.8274272288558,19.4578874347026,12.8853751647469,16.9802866375851,15.6702863710125,12.4468848316952,19.1335752320969,19.6485615383468,26.2171240748557,15.7903601748938,26.4542058497306,15.2377260883033,15.7608497090008,22.5170535840645,19.8657135056163
"HF65.2",15.8902467222722,17.9550106532015,16.7967400586324,14.1651915942368,14.5945065917563,19.4267396034658,19.26425174827,20.851526161771,15.4821623555403,19.1244993612866,14.4322744569344,19.4590312048616,23.0784730121856,17.4603414663829,17.7648038002415,19.3350827000411,24.9001846753998,15.0138306196053,18.6372768970467,18.42817258768,16.8151299735952,20.2425065916059,19.4692541916759,14.8693943645237,18.8466247744733,18.4193860676525,16.0255801653106,16.8334855040034,21.7115619183576,20.2119942321527,15.4180924758644,22.2543914605566,18.2074765336422,16.3289412479041,18.3839546371215,15.2385463122681,14.0177545643333,18.5445000480678,15.1652659094803,22.7836154140313,16.6062230016447,20.5061742598156,19.3657105161234,19.4413094696699,14.4797402548367,18.9176435854387,20.2388886728569,19.175223724964,15.6811475633091,17.1463122518491,15.847832184496,22.3601650634535,18.6578764882814,13.8088972109914,18.9889333139256,12.3961672388562,15.8818757311681,15.9556236985816,14.0742379686456,19.6146585796668,18.3857829976807,26.2772156026771,15.6538045979075,25.9760440997659,16.4014718101589,15.6949046760771,22.6634882673268,19.0681093763245
"HF65.3",17.2684421918939,19.2644859568268,16.8090473758266,14.3189737083015,14.740389225144,21.5304564216824,19.3844418931963,21.4413057464443,15.5317957127206,19.3831647912321,14.2786126912863,17.0745723918203,22.8526734009702,17.6919088273238,17.9321336577098,16.5010209793232,25.0578816014987,15.2829912272394,19.2273320790352,18.2870463787747,17.0438286151784,18.9593914550967,18.051082181497,14.8364452292912,18.9372078860637,18.650217080299,15.8587600858808,16.1841345773214,21.7227215307155,20.1943485108699,15.5913721325799,21.635355463188,17.7976742830343,16.4562178279912,18.023290933229,15.7755986087549,13.8560972362154,18.774484735682,13.6915853548852,23.3078880634122,15.05326094523,20.0058586621294,18.8167522555508,18.4103014879815,14.2087410132079,18.5506930426971,18.2282125980828,18.3467265458362,16.3994010806909,15.203549363941,13.2898761159575,23.2458448856467,18.5820497560252,13.2902081322169,19.3763247444351,13.2883387856814,16.6124496606213,15.7356723072226,11.1118803861898,18.58522261666,19.3638533305487,25.2902215425836,15.9695257754501,26.1880293746713,15.2526170454427,15.2088541139338,21.6939908479361,19.9721353471516
"HF67.1",16.8772813127971,18.4293506851182,17.0775705885497,14.3184249977041,15.0644751018045,20.8704141124828,19.7983720394122,20.9798911639035,15.9607717932768,19.7062567810269,14.5100579727469,17.5054617332154,22.9943440393832,17.5974058308607,18.1288763005832,17.7602277273529,25.0985420074638,15.7659228575971,19.9658299480976,18.8497826698732,16.9015506470484,20.1285030773592,19.2316407416128,16.0676752543953,18.8273905055625,18.6457362480044,16.164676349798,16.9840421325226,21.5734924428231,20.8359320531589,16.5660262482502,23.1702634230362,19.1880418415813,16.4731082641662,18.7419284072372,15.5651443586169,14.0364764256632,19.4776132198043,14.4340661181957,23.0752859122941,17.4965811394838,20.3145499812863,19.5612808756459,18.877229844281,14.7788696542126,18.7288190652571,19.2719544677167,18.6952292057814,16.5072232878174,16.4211055137633,13.5790171705031,22.9118270268416,18.614710722897,13.675260224223,19.3532082385452,13.1642760920478,16.2018354630998,15.2081327588043,12.4160960272505,18.9390446269664,19.1344086420539,26.2948713368933,15.7730209097163,26.3541063727233,15.1777230340715,15.8069010222861,22.2467193595677,19.5496569253474
"HF67.2",17.0704576832169,19.0248775759607,17.1129597733274,14.573295023855,14.9773764802766,20.2412980056308,19.9920284318151,21.0661948995883,15.3347773687182,19.4008349760495,14.8719118304564,16.6813280380187,23.1350257465439,17.7066047087949,18.2954659115693,15.9324638017665,25.0479464240453,15.6951461785316,20.1270641868052,18.7747230005533,16.8920151037782,19.4568004152835,18.663257406195,15.9860618729172,19.0415931145913,18.4872116652105,16.1422972111226,16.8159104739356,21.967710243318,20.3460226303294,16.0609958181648,23.5215862734758,19.4306209555701,16.2448176503236,18.9496690906646,15.2137368504913,14.0219993322342,19.7363473214879,14.4335473783607,22.881412961464,16.0170436183135,20.3290978367553,19.7333584913057,19.1345427477912,15.3020366226733,18.4349487447301,18.1747111112816,18.8672627605903,16.2207877194817,16.6642792788591,12.6371081724553,22.7247513895036,19.0594682277404,13.1537704903486,19.5519905264707,13.0715237313356,15.7803432020858,15.4347575671798,11.7589232101234,19.2077983091418,19.4185084713294,26.4557568139667,15.9881565851165,26.6154126353753,15.1712074731971,15.910329450766,22.4809374363763,19.5904737348129
"HF67.3",17.2618681050368,19.0581299398325,17.1441760909223,14.4509304459229,15.1515338859487,19.6746399159092,20.1386096236489,20.9416372299185,16.9716948596278,19.5761569450258,14.6947776370975,20.4013944976938,23.358848338841,17.5417124145701,18.2269833498872,19.5467086395024,24.7661962460359,15.7044618604445,19.6046697103225,18.6811918476618,17.5546151748198,19.7296441340402,19.3323619775491,15.2309862326615,18.9493381133618,18.9616597333626,16.7922229467773,17.0775023486986,21.8320547003441,20.7785220803296,16.0935217778436,22.4431487039077,18.9481159107907,16.3548169600434,18.9283401915632,17.7614587814267,14.4200431540378,18.8929145976256,16.0770245284937,23.8964080788452,16.4780909221189,20.278476602544,19.5110471421503,19.2255530997263,14.6656509040521,18.7435738271475,20.8325450185683,19.0517468132459,16.3227347209376,19.0679275835515,15.3695815975235,22.9452096903977,18.8322117214017,14.1908563551329,19.8918823054355,15.8931353224787,16.0968377926681,16.7348134506964,14.4835209105613,21.0622486401257,21.152918055615,26.3828857806187,15.8181664962636,26.3704930058228,15.295154509895,16.1308473955012,23.005825177547,19.5738725340893
"HFHS56.1",16.4751056519886,18.6600358673082,16.5069459077005,14.2633458381758,14.5599396931173,19.7585332513629,19.2081602418752,21.8393871824442,15.311708795096,19.2015346967951,13.6863729670609,19.3085786939025,22.5377654703081,17.5711047334948,17.7550076860512,18.6683089750106,25.2966601987193,15.2971421034886,18.8533926923002,18.1918687484165,16.0389828794311,18.7165578772359,18.1067719319988,15.4087978682269,18.6103496841709,18.1324909102711,16.0505626970895,16.3965513141953,21.0093611408716,19.2916785580196,15.9094170429294,22.1344155175058,17.9018399626577,16.5618818215501,17.9356285551398,15.5516476915374,13.8107614301971,18.8122635934845,14.1688333660748,21.8692131841132,17.1841656085763,19.8725015655176,19.3772996643984,19.4864827781333,13.7570552514583,19.1414824614203,19.3878224255194,19.2051420533554,15.491860992336,14.7410233352227,15.5715986686272,22.8498231765929,18.1849140151439,13.5877930622523,18.9416585267665,11.7108086750132,17.4164044472167,15.1875779616583,12.8213151510308,17.8868176939644,17.7511670907395,25.8569334366457,15.4008232057907,25.8816121410302,14.2284102617085,15.330175802016,22.0890237290668,19.4103095218164
"HFHS56.2",16.2547501998364,17.7953680869883,16.6791434402132,14.0262642422627,14.7963790957737,19.9707598201908,19.2196842041063,20.9626399941128,15.4180550635199,18.7432475068133,13.6038224990834,18.9431993569522,22.8680618130877,17.3459366961724,17.9429965029288,18.5496607682121,24.9891030686521,15.515506771285,20.4320264095625,18.2768171135479,17.007478166991,18.8883691037391,18.6600683945681,14.8584293930782,18.744115372568,18.6523076537726,16.8490111590207,17.4402993163181,20.9697830190046,19.9755077206341,15.8502034494465,22.6619497788158,18.6055082371455,16.5467116740403,18.5469534219938,15.4951718381102,13.4592726057575,18.097214753924,14.7654860707345,22.7381812792705,19.1730188239644,20.0425749177883,19.7017065791199,20.0376608669745,14.4554368075695,19.1628897931638,19.2945156826875,19.7748894057572,15.4590750858145,16.1033159158809,15.6221130139575,24.043347930507,18.4009587391372,13.6758630324257,19.3220191746104,12.4915438347635,16.1327019453873,15.6235058906598,13.560326848709,19.1458269570148,19.6949574155348,25.8917413815576,15.5736978783445,25.763349224336,14.918658450712,15.4567341555409,23.3607912057155,20.8185596253988
"HFHS56.3",16.7286200223934,18.5371252484435,17.036988174481,14.143200204263,14.7343351484585,20.3443609057386,19.9715927498757,20.9987520283519,15.8879426323627,19.0722597478908,13.9091007158676,17.3915011550287,23.0996828293085,17.4630685219308,17.9196738821105,17.6896104108452,25.2532946240513,15.3916346657489,19.1118240949354,17.8864475593321,16.8309884205546,18.4533632377374,18.9472809283874,15.1082494506417,18.8013172687155,18.3371655810368,16.4184923513385,16.0923280087221,21.684590217316,20.2116746953986,16.1475558102943,20.8497565022065,17.5626534200276,16.3916913505102,18.5925528361466,16.3571379269613,13.8523150979061,19.7171631946971,14.7239416729893,23.3827268167489,16.3360241251642,20.1300775407487,19.1060089626875,18.89281615789,13.8873320674846,18.7293002924426,18.1936232725873,18.734508883988,16.6103442195237,15.1599761229797,13.0851639084885,22.7509789672235,18.767551507239,13.4254666504463,19.3426713262325,15.1785451801781,16.0027549301069,15.0733262823941,11.3835186293613,19.172300556833,19.1911058631831,26.3952063326115,15.7692607986824,26.0470370357988,15.2440390507837,15.3774937639284,21.625473288221,19.3443233763956
"HFHS57.1",17.5549772042861,19.551471157013,16.8646279402698,14.808009368455,14.729898350752,19.3851333032381,20.5220983156934,20.4292251437045,15.9024809389572,19.5024532643889,13.578601811851,19.6302519009912,22.9462645260837,17.6586692175701,18.2459026093111,19.2921439257136,25.1335902863899,15.9199533660046,19.1762206924841,18.7861990319159,17.0747771605175,19.7666200439638,19.5088054347117,14.9662276081562,18.8628753379333,18.015753940925,16.3699801365233,17.3041014305417,21.2287510387219,20.5489086106631,16.3505504172422,22.9254876166451,18.7079786130178,15.9663286612594,18.940275625834,16.2916377589193,13.6526952163453,19.4973747578334,15.173043957039,23.2469455554474,17.4067973622939,20.072756840024,19.7021797679911,19.4691988140086,14.294311267895,18.7928031254313,19.8825493407064,19.2439533610611,16.0435977303144,17.3754890063781,14.3628692039192,22.9454607040821,18.7717785225134,13.5232022909668,19.7412700854837,14.6212011740314,15.9690803685971,15.6027582893978,14.1634141012791,19.7600292736793,20.3977947667153,26.6709846067256,15.7382496476922,26.4351134717548,15.1510924523731,15.5729955456581,22.7209994385067,19.6566618636948
